Burghardt_ID,street_address,SPP,grade,long,lat,Tree Height (ft),Crown Vigor,SLF,Phi2,Ambient Humidity,Ambient Temperature,SPAD,photosynq_date
25374,"2920 CRESMONT AVE, Baltimore, MD",Liquidambar styraciflua,D,-76.62163778,39.32352998,38.4,1 (healthy),None,0.755,36.4375,29.75,40.704,8/22/2024 10:34
25929,"500 W 27TH ST, Baltimore, MD",Quercus palustris,D,-76.62338588,39.31929007,34,1 (healthy),None,0.454,47.52734,24.91,39.156,8/22/2024 9:16
25952,"2701 HAMPDEN AVE, Baltimore, MD",Quercus palustris,D,-76.62327417,39.31934597,35.4,2 (slightly unhealthy),None,0.309,46.96094,23.35,21.864,8/22/2024 9:09
30276,"1019 CATHEDRAL ST, Baltimore, MD",Quercus alba,D,-76.61770507,39.30154498,23.6,2 (slightly unhealthy),Trace,0.631,36.94629,37.3,26.153,8/1/2024 13:01
30277,"1101 N CALVERT ST, Baltimore, MD",Liquidambar styraciflua,D,-76.61317218,39.30268543,18.7,2 (slightly unhealthy),Moderate,0.735,36.68848,38.13,47.166,8/1/2024 11:10
30473,"1011 SAINT PAUL ST, Baltimore, MD",Quercus palustris,D,-76.61423888,39.30148168,39,1 (healthy),None,0.672,38.82324,37.6,40.952,8/1/2024 11:35
30713,"222 E LAFAYETTE AVE, Baltimore, MD",Quercus palustris,D,-76.61262347,39.31001507,16.44,1 (healthy),Trace,0.588,39.99707,33.66,31.572,7/11/2024 10:44
30822,"227 E BIDDLE ST, Baltimore, MD",Liquidambar styraciflua,D,-76.61195495,39.3034835,29,1 (healthy),Trace,0.666,39.54102,37.36,41.72,8/1/2024 11:20
31406,"1000 TYSON ST, Baltimore, MD",Quercus palustris,D,-76.6185967,39.30193069,12.8,1 (healthy),None,0.442,34.06934,38.54,25.171,8/1/2024 13:19
31497,"857 PARK AVE, Baltimore, MD",Liquidambar styraciflua,D,-76.61851585,39.3005732,NA,NA,NA,NA,NA,NA,NA,NA
31707,"531 N HIGH ST, Baltimore, MD",Taxodium distichum,D,-76.60992394,39.29733003,5.1,3 (moderately unhealthy),None,0.494,40.53223,37.08,5.14,8/1/2024 10:46
32837,"1220 TURPIN LANE, Baltimore, MD",Liquidambar styraciflua,D,-76.60649483,39.30465739,23.3,1 (healthy),Substantive,0.636,35.34961,28.75,43.398,8/22/2024 12:37
35655,"25 W PRESTON ST, Baltimore, MD",Liquidambar styraciflua,D,-76.61776851,39.30436285,19,1 (healthy),None,0.658,39.61816,35.55,45.151,8/1/2024 12:38
35685,"25 W PRESTON ST, Baltimore, MD",Quercus alba,D,-76.61764428,39.30436678,13.7,1 (healthy),None,0.626,39.35156,35.93,45.141,8/1/2024 12:42
